ticker,date,period_ending,estimate,reported,surprise,surprise%
UNP,19-OCT-23,Sep 2023,2.45,2.51,0.06,2.45
UPS,26-OCT-23,Sep 2023,1.53,1.57,0.04,2.61
UPST,07-NOV-23,Sep 2023,-0.02,-0.05,-0.03,-150.0
UPWK,07-NOV-23,Sep 2023,0.11,0.21,0.1,90.91
URBN,21-NOV-23,Oct 2023,0.81,0.88,0.07,8.64
URGN,14-NOV-23,Sep 2023,-0.89,-0.68,0.21,23.6
URI,25-OCT-23,Sep 2023,11.32,11.73,0.41,3.62
USB,18-OCT-23,Sep 2023,1.04,1.05,0.01,0.96
USFD,09-NOV-23,Sep 2023,0.69,0.7,0.01,1.45
USNA,24-OCT-23,Sep 2023,0.64,0.59,-0.05,-7.81
USPH,07-NOV-23,Sep 2023,0.61,0.62,0.01,1.64
UTHR,01-NOV-23,Sep 2023,4.89,5.38,0.49,10.02
UTI,15-NOV-23,Sep 2023,0.12,0.1,-0.02,-16.67
UTL,07-NOV-23,Sep 2023,0.06,0.09,0.03,50.0
UTZ,09-NOV-23,Sep 2023,0.16,0.17,0.01,6.25
UUUU,03-NOV-23,Sep 2023,-0.06,-0.02,0.04,66.67
UVE,26-OCT-23,Sep 2023,-0.28,-0.16,0.12,42.86
UVSP,25-OCT-23,Sep 2023,0.5,0.58,0.08,16.0
UWMC,08-NOV-23,Sep 2023,0.05,0.29,0.24,480.0
V,24-OCT-23,Sep 2023,2.23,2.33,0.1,4.48
VAC,01-NOV-23,Sep 2023,2.19,1.2,-0.99,-45.21
VBTX,24-OCT-23,Sep 2023,0.64,0.6,-0.04,-6.25
VC,26-OCT-23,Sep 2023,1.86,2.35,0.49,26.34
VCEL,08-NOV-23,Sep 2023,-0.13,-0.08,0.05,38.46
VCTR,02-NOV-23,Sep 2023,1.15,1.18,0.03,2.61
VCYT,07-NOV-23,Sep 2023,-0.16,-0.03,0.13,81.25
VECO,06-NOV-23,Sep 2023,0.37,0.53,0.16,43.24
VEEV,06-DEC-23,Oct 2023,1.28,1.34,0.06,4.69
VEL,02-NOV-23,Sep 2023,0.35,0.37,0.02,5.71
VERA,09-NOV-23,Sep 2023,-0.5,-0.45,0.05,10.0
VERV,07-NOV-23,Sep 2023,-0.91,-0.72,0.19,20.88
VFC,30-OCT-23,Sep 2023,0.65,0.63,-0.02,-3.08
VGR,01-NOV-23,Sep 2023,0.29,0.33,0.04,13.79
VIAV,02-NOV-23,Sep 2023,0.1,0.09,-0.01,-10.0
VICI,25-OCT-23,Sep 2023,0.53,0.55,0.02,3.77
VIR,02-NOV-23,Sep 2023,-1.21,-1.22,-0.01,-0.83
VIRT,02-NOV-23,Sep 2023,0.4,0.45,0.05,12.5
VITL,02-NOV-23,Sep 2023,0.04,0.1,0.06,150.0
VKTX,25-OCT-23,Sep 2023,-0.22,-0.23,-0.01,-4.55
VLO,26-OCT-23,Sep 2023,7.36,7.49,0.13,1.77
VLY,26-OCT-23,Sep 2023,0.26,0.26,0.0,0.0
VMC,26-OCT-23,Sep 2023,2.24,2.29,0.05,2.23
VMEO,06-NOV-23,Sep 2023,-0.06,0.05,0.11,183.33
VMI,25-OCT-23,Sep 2023,3.78,4.12,0.34,8.99
VNO,30-OCT-23,Sep 2023,0.66,0.28,-0.38,-57.58
VOYA,31-OCT-23,Sep 2023,2.09,2.07,-0.02,-0.96
VPG,07-NOV-23,Sep 2023,0.56,0.47,-0.09,-16.07
VRDN,13-NOV-23,Sep 2023,-1.22,-1.09,0.13,10.66
VRE,25-OCT-23,Sep 2023,0.12,-0.61,-0.73,-608.33
VREX,14-NOV-23,Sep 2023,0.33,0.45,0.12,36.36
VRNS,30-OCT-23,Sep 2023,0.03,0.08,0.05,166.67
VRNT,06-DEC-23,Oct 2023,0.54,0.65,0.11,20.37
VRRM,09-NOV-23,Sep 2023,0.27,0.29,0.02,7.41
VRSK,01-NOV-23,Sep 2023,1.46,1.52,0.06,4.11
VRSN,26-OCT-23,Sep 2023,1.74,1.83,0.09,5.17
VRT,25-OCT-23,Sep 2023,0.44,0.52,0.08,18.18
VRTS,27-OCT-23,Sep 2023,6.17,6.21,0.04,0.65
VRTX,06-NOV-23,Sep 2023,3.92,4.08,0.16,4.08
VSAT,08-NOV-23,Sep 2023,0.48,-6.16,-6.64,-1383.33
VSCO,29-NOV-23,Oct 2023,-0.8,-0.86,-0.06,-7.5
VSEC,01-NOV-23,Sep 2023,0.76,0.92,0.16,21.05
VSH,08-NOV-23,Sep 2023,0.56,0.6,0.04,7.14
VST,07-NOV-23,Sep 2023,2.02,1.25,-0.77,-38.12
VSTO,01-NOV-23,Sep 2023,0.99,0.96,-0.03,-3.03
VTNR,07-NOV-23,Sep 2023,0.12,0.13,0.01,8.33
VTR,02-NOV-23,Sep 2023,0.74,-0.17,-0.91,-122.97
VTRS,07-NOV-23,Sep 2023,0.74,0.78,0.04,5.41
VTYX,09-NOV-23,Sep 2023,-0.85,-0.92,-0.07,-8.24
VUZI,09-NOV-23,Sep 2023,-0.14,-0.17,-0.03,-21.43
VVI,02-NOV-23,Sep 2023,1.3,1.49,0.19,14.62
VVV,09-NOV-23,Sep 2023,0.41,0.39,-0.02,-4.88
VYGR,06-NOV-23,Sep 2023,-0.58,-0.59,-0.01,-1.72
VZ,24-OCT-23,Sep 2023,1.17,1.22,0.05,4.27
VZIO,09-NOV-23,Sep 2023,0.02,0.07,0.05,250.0
W,01-NOV-23,Sep 2023,-0.43,-0.13,0.3,69.77
WAB,25-OCT-23,Sep 2023,1.46,1.7,0.24,16.44
WABC,19-OCT-23,Sep 2023,1.49,1.55,0.06,4.03
WAFD,17-OCT-23,Sep 2023,0.91,0.72,-0.19,-20.88
WAL,19-OCT-23,Sep 2023,1.91,1.97,0.06,3.14
WASH,23-OCT-23,Sep 2023,0.56,0.65,0.09,16.07
WAT,07-NOV-23,Sep 2023,2.56,2.84,0.28,10.94
WBA,12-OCT-23,Aug 2023,0.68,0.67,-0.01,-1.47
WBD,08-NOV-23,Sep 2023,-0.13,-0.17,-0.04,-30.77
WBS,19-OCT-23,Sep 2023,1.5,1.55,0.05,3.33
WCC,02-NOV-23,Sep 2023,3.85,4.49,0.64,16.62
WD,09-NOV-23,Sep 2023,1.22,1.11,-0.11,-9.02
WDAY,28-NOV-23,Oct 2023,1.4,1.53,0.13,9.29
WDC,30-OCT-23,Sep 2023,-1.88,-1.76,0.12,6.38
WDFC,19-OCT-23,Aug 2023,1.21,1.21,0.0,0.0
WEAV,01-NOV-23,Sep 2023,-0.06,-0.01,0.05,83.33
WEC,31-OCT-23,Sep 2023,0.91,1.0,0.09,9.89
WELL,30-OCT-23,Sep 2023,0.89,0.24,-0.65,-73.03
WEN,02-NOV-23,Sep 2023,0.26,0.27,0.01,3.85
WERN,01-NOV-23,Sep 2023,0.48,0.42,-0.06,-12.5
WEST,09-NOV-23,Sep 2023,0.03,-0.03,-0.06,-200.0
WEX,26-OCT-23,Sep 2023,3.77,4.05,0.28,7.43
WFC,13-OCT-23,Sep 2023,1.25,1.39,0.14,11.2
WFRD,24-OCT-23,Sep 2023,1.15,1.66,0.51,44.35
WGO,18-OCT-23,Aug 2023,1.32,1.59,0.27,20.45
WH,25-OCT-23,Sep 2023,1.25,1.31,0.06,4.8
WHD,08-NOV-23,Sep 2023,0.81,0.8,-0.01,-1.23
WHR,25-OCT-23,Sep 2023,4.38,5.45,1.07,24.43
WING,01-NOV-23,Sep 2023,0.52,0.69,0.17,32.69
WIRE,24-OCT-23,Sep 2023,4.66,4.82,0.16,3.43
WK,30-OCT-23,Sep 2023,0.04,-0.65,-0.69,-1725.0
WKHS,14-NOV-23,Sep 2023,-0.12,-0.14,-0.02,-16.67
WLDN,02-NOV-23,Sep 2023,0.37,0.37,0.0,0.0
WLK,02-NOV-23,Sep 2023,1.92,2.2,0.28,14.58
WM,24-OCT-23,Sep 2023,1.61,1.63,0.02,1.24
WMB,01-NOV-23,Sep 2023,0.4,0.45,0.05,12.5
WMS,02-NOV-23,Sep 2023,1.53,1.71,0.18,11.76
WMT,16-NOV-23,Oct 2023,0.51,0.51,0.0,0.0
WNC,25-OCT-23,Sep 2023,0.97,1.16,0.19,19.59
WOLF,30-OCT-23,Sep 2023,-0.68,-0.53,0.15,22.06
WOOF,29-NOV-23,Oct 2023,0.02,-0.05,-0.07,-350.0
WOR,27-SEP-23,Aug 2023,1.99,2.06,0.07,3.52
WPC,03-NOV-23,Sep 2023,1.32,1.32,0.0,0.0
WRB,23-OCT-23,Sep 2023,1.14,1.35,0.21,18.42
WRBY,08-NOV-23,Sep 2023,0.01,0.01,0.0,0.0
WRK,09-NOV-23,Sep 2023,0.75,0.81,0.06,8.0
WRLD,20-OCT-23,Sep 2023,1.44,2.71,1.27,88.19
WSBC,25-OCT-23,Sep 2023,0.62,0.59,-0.03,-4.84
WSC,01-NOV-23,Sep 2023,0.45,0.46,0.01,2.22
WSFS,23-OCT-23,Sep 2023,1.06,1.23,0.17,16.04
WSM,16-NOV-23,Oct 2023,3.34,3.66,0.32,9.58
WSO,19-OCT-23,Sep 2023,4.31,4.35,0.04,0.93
WSR,31-OCT-23,Sep 2023,0.23,0.05,-0.18,-78.26
WST,26-OCT-23,Sep 2023,1.86,2.16,0.3,16.13
WTFC,17-OCT-23,Sep 2023,2.43,2.53,0.1,4.12
WTI,07-NOV-23,Sep 2023,0.04,0.01,-0.03,-75.0
WTRG,06-NOV-23,Sep 2023,0.29,0.3,0.01,3.45
WTS,01-NOV-23,Sep 2023,1.83,2.04,0.21,11.48
WTTR,31-OCT-23,Sep 2023,0.26,0.14,-0.12,-46.15
WTW,26-OCT-23,Sep 2023,2.07,2.24,0.17,8.21
WU,25-OCT-23,Sep 2023,0.38,0.43,0.05,13.16
WVE,09-NOV-23,Sep 2023,-0.14,0.07,0.21,150.0
WW,02-NOV-23,Sep 2023,0.06,0.06,0.0,0.0
WWD,16-NOV-23,Sep 2023,1.27,1.33,0.06,4.72
WWW,09-NOV-23,Sep 2023,0.07,0.07,0.0,0.0
WY,26-OCT-23,Sep 2023,0.33,0.33,0.0,0.0
WYNN,09-NOV-23,Sep 2023,0.79,0.99,0.2,25.32
X,26-OCT-23,Sep 2023,1.15,1.4,0.25,21.74
XEL,27-OCT-23,Sep 2023,1.27,1.23,-0.04,-3.15
XERS,09-NOV-23,Sep 2023,-0.12,-0.09,0.03,25.0
XFOR,09-NOV-23,Sep 2023,-0.15,-0.01,0.14,93.33
XHR,31-OCT-23,Sep 2023,0.27,0.26,-0.01,-3.7
XMTR,09-NOV-23,Sep 2023,-0.14,-0.05,0.09,64.29
XNCR,07-NOV-23,Sep 2023,-0.77,-0.4,0.37,48.05
XOM,27-OCT-23,Sep 2023,2.36,2.27,-0.09,-3.81
XP,13-NOV-23,Sep 2023,0.44,0.43,-0.01,-2.27
XPEL,08-NOV-23,Sep 2023,0.56,0.56,0.0,0.0
XPER,13-NOV-23,Sep 2023,-0.06,-0.08,-0.02,-33.33
XPO,30-OCT-23,Sep 2023,0.63,0.88,0.25,39.68
XPOF,07-NOV-23,Sep 2023,0.14,0.53,0.39,278.57
XPRO,26-OCT-23,Sep 2023,0.3,-0.06,-0.36,-120.0
XRAY,02-NOV-23,Sep 2023,0.48,0.49,0.01,2.08
XRX,24-OCT-23,Sep 2023,0.34,0.46,0.12,35.29
XYL,31-OCT-23,Sep 2023,0.89,0.99,0.1,11.24
YELP,02-NOV-23,Sep 2023,0.35,0.79,0.44,125.71
YETI,09-NOV-23,Sep 2023,0.54,0.6,0.06,11.11
YEXT,05-DEC-23,Oct 2023,0.07,0.09,0.02,28.57
YMAB,13-NOV-23,Sep 2023,-0.16,-0.18,-0.02,-12.5
YORW,03-NOV-23,Sep 2023,0.46,0.53,0.07,15.22
YOU,08-NOV-23,Sep 2023,0.1,0.21,0.11,110.0
YUM,01-NOV-23,Sep 2023,1.26,1.44,0.18,14.29
ZBH,07-NOV-23,Sep 2023,1.59,1.65,0.06,3.77
ZBRA,31-OCT-23,Sep 2023,0.76,0.87,0.11,14.47
ZD,08-NOV-23,Sep 2023,1.5,1.5,0.0,0.0
ZETA,01-NOV-23,Sep 2023,0.09,0.09,0.0,0.0
ZEUS,02-NOV-23,Sep 2023,0.8,0.68,-0.12,-15.0
ZG,01-NOV-23,Sep 2023,0.21,0.33,0.12,57.14
ZI,30-OCT-23,Sep 2023,0.24,0.26,0.02,8.33
ZION,18-OCT-23,Sep 2023,1.1,1.13,0.03,2.73
ZIP,08-NOV-23,Sep 2023,0.1,0.23,0.13,130.0
ZM,20-NOV-23,Oct 2023,1.08,1.29,0.21,19.44
ZNTL,06-NOV-23,Sep 2023,-1.01,-0.79,0.22,21.78
ZS,27-NOV-23,Oct 2023,0.49,0.67,0.18,36.73
ZTS,02-NOV-23,Sep 2023,1.35,1.36,0.01,0.74
ZUMZ,30-NOV-23,Oct 2023,-0.17,-0.12,0.05,29.41
ZUO,29-NOV-23,Oct 2023,0.06,0.09,0.03,50.0
ZWS,31-OCT-23,Sep 2023,0.27,0.29,0.02,7.41
ZYME,07-NOV-23,Sep 2023,-0.55,-0.41,0.14,25.45
