ticker,date,period_ending,estimate,reported,surprise,surprise%
SNBR,07-NOV-23,Sep 2023,0.17,-0.1,-0.27,-158.82
SNCY,07-NOV-23,Sep 2023,0.18,0.14,-0.04,-22.22
SNDR,02-NOV-23,Sep 2023,0.38,0.2,-0.18,-47.37
SNDX,02-NOV-23,Sep 2023,-0.8,-0.73,0.07,8.75
SNEX,15-NOV-23,Sep 2023,1.51,1.62,0.11,7.28
SNOW,29-NOV-23,Oct 2023,0.15,0.25,0.1,66.67
SNPS,29-NOV-23,Oct 2023,3.04,3.17,0.13,4.28
SNV,18-OCT-23,Sep 2023,0.86,0.84,-0.02,-2.33
SNX,26-SEP-23,Aug 2023,2.47,2.78,0.31,12.55
SO,02-NOV-23,Sep 2023,1.32,1.42,0.1,7.58
SOFI,30-OCT-23,Sep 2023,-0.07,-0.03,0.04,57.14
SOI,26-OCT-23,Sep 2023,0.2,0.19,-0.01,-5.0
SON,31-OCT-23,Sep 2023,1.26,1.46,0.2,15.87
SONO,15-NOV-23,Sep 2023,-0.05,-0.07,-0.02,-40.0
SOUN,09-NOV-23,Sep 2023,-0.09,-0.09,0.0,0.0
SP,01-NOV-23,Sep 2023,0.73,0.79,0.06,8.22
SPB,17-NOV-23,Sep 2023,1.14,1.36,0.22,19.3
SPCE,08-NOV-23,Sep 2023,-0.42,-0.28,0.14,33.33
SPFI,24-OCT-23,Sep 2023,0.64,0.78,0.14,21.88
SPG,30-OCT-23,Sep 2023,2.98,1.82,-1.16,-38.93
SPGI,02-NOV-23,Sep 2023,3.05,3.21,0.16,5.25
SPNS,08-NOV-23,Sep 2023,0.34,0.34,0.0,0.0
SPOT,24-OCT-23,Sep 2023,-0.21,0.36,0.57,271.43
SPR,01-NOV-23,Sep 2023,-1.56,-1.42,0.14,8.97
SPSC,26-OCT-23,Sep 2023,0.66,0.75,0.09,13.64
SPT,02-NOV-23,Sep 2023,-0.05,-0.01,0.04,80.0
SPTN,08-NOV-23,Sep 2023,0.6,0.54,-0.06,-10.0
SPWH,06-DEC-23,Oct 2023,-0.11,-0.01,0.1,90.91
SPWR,01-NOV-23,Sep 2023,-0.01,-0.12,-0.11,-1100.0
SPXC,02-NOV-23,Sep 2023,0.95,1.06,0.11,11.58
SQ,02-NOV-23,Sep 2023,0.44,0.55,0.11,25.0
SQSP,07-NOV-23,Sep 2023,0.12,-0.12,-0.24,-200.0
SR,16-NOV-23,Sep 2023,-0.66,-0.78,-0.12,-18.18
SRCE,19-OCT-23,Sep 2023,1.13,1.32,0.19,16.81
SRCL,02-NOV-23,Sep 2023,0.43,0.43,0.0,0.0
SRDX,08-NOV-23,Sep 2023,0.16,0.53,0.37,231.25
SRE,03-NOV-23,Sep 2023,1.01,1.08,0.07,6.93
SRPT,01-NOV-23,Sep 2023,-1.66,-0.46,1.2,72.29
SRRK,07-NOV-23,Sep 2023,-0.53,-0.53,0.0,0.0
SSB,26-OCT-23,Sep 2023,1.63,1.62,-0.01,-0.61
SSD,23-OCT-23,Sep 2023,2.25,2.43,0.18,8.0
SSNC,26-OCT-23,Sep 2023,1.16,1.17,0.01,0.86
SSP,03-NOV-23,Sep 2023,-0.14,-0.15,-0.01,-7.14
SSRM,01-NOV-23,Sep 2023,0.27,0.26,-0.01,-3.7
SSTI,07-NOV-23,Sep 2023,-0.04,-0.09,-0.05,-125.0
SSTK,31-OCT-23,Sep 2023,0.83,1.26,0.43,51.81
ST,31-OCT-23,Sep 2023,0.9,0.91,0.01,1.11
STAA,01-NOV-23,Sep 2023,0.2,0.3,0.1,50.0
STAG,26-OCT-23,Sep 2023,0.57,0.28,-0.29,-50.88
STBA,19-OCT-23,Sep 2023,0.9,0.87,-0.03,-3.33
STE,07-NOV-23,Sep 2023,2.05,2.03,-0.02,-0.98
STEL,27-OCT-23,Sep 2023,0.56,0.58,0.02,3.57
STEM,02-NOV-23,Sep 2023,-0.18,-0.17,0.01,5.56
STEP,06-NOV-23,Sep 2023,0.28,0.26,-0.02,-7.14
STER,08-NOV-23,Sep 2023,0.3,0.26,-0.04,-13.33
STGW,02-NOV-23,Sep 2023,0.21,0.18,-0.03,-14.29
STLD,18-OCT-23,Sep 2023,3.49,3.47,-0.02,-0.57
STNE,10-NOV-23,Sep 2023,0.23,0.27,0.04,17.39
STNG,09-NOV-23,Sep 2023,1.6,1.91,0.31,19.38
STOK,07-NOV-23,Sep 2023,-0.65,-0.55,0.1,15.38
STR,08-NOV-23,Sep 2023,0.24,0.23,-0.01,-4.17
STRA,02-NOV-23,Sep 2023,0.86,0.97,0.11,12.79
STRL,06-NOV-23,Sep 2023,1.25,1.26,0.01,0.8
STRO,13-NOV-23,Sep 2023,-0.76,-0.81,-0.05,-6.58
STT,18-OCT-23,Sep 2023,1.77,1.93,0.16,9.04
STWD,08-NOV-23,Sep 2023,0.47,0.49,0.02,4.26
STZ,05-OCT-23,Aug 2023,3.38,3.7,0.32,9.47
SUI,25-OCT-23,Sep 2023,2.47,1.31,-1.16,-46.96
SUM,01-NOV-23,Sep 2023,0.75,0.81,0.06,8.0
SUPN,08-NOV-23,Sep 2023,0.13,-0.29,-0.42,-323.08
SVC,06-NOV-23,Sep 2023,0.55,0.56,0.01,1.82
SVRA,09-NOV-23,Sep 2023,-0.07,-0.1,-0.03,-42.86
SWAV,06-NOV-23,Sep 2023,0.81,0.92,0.11,13.58
SWI,02-NOV-23,Sep 2023,0.19,0.23,0.04,21.05
SWK,27-OCT-23,Sep 2023,0.84,1.05,0.21,25.0
SWKS,02-NOV-23,Sep 2023,2.1,2.2,0.1,4.76
SWN,02-NOV-23,Sep 2023,0.08,0.1,0.02,25.0
SWTX,02-NOV-23,Sep 2023,-1.31,-1.27,0.04,3.05
SWX,08-NOV-23,Sep 2023,0.02,0.1,0.08,400.0
SXC,01-NOV-23,Sep 2023,0.18,0.08,-0.1,-55.56
SXI,02-NOV-23,Sep 2023,1.7,1.74,0.04,2.35
SYBT,25-OCT-23,Sep 2023,0.91,0.92,0.01,1.1
SYF,24-OCT-23,Sep 2023,1.44,1.48,0.04,2.78
SYK,02-NOV-23,Sep 2023,2.44,2.46,0.02,0.82
SYNA,09-NOV-23,Sep 2023,0.38,0.52,0.14,36.84
SYY,31-OCT-23,Sep 2023,1.02,1.07,0.05,4.9
T,19-OCT-23,Sep 2023,0.63,0.64,0.01,1.59
TALO,06-NOV-23,Sep 2023,0.18,0.15,-0.03,-16.67
TAP,02-NOV-23,Sep 2023,1.53,1.92,0.39,25.49
TARO,26-OCT-23,Sep 2023,0.18,0.38,0.2,111.11
TARS,09-NOV-23,Sep 2023,-1.4,-1.28,0.12,8.57
TAST,09-NOV-23,Sep 2023,0.07,0.16,0.09,128.57
TBBK,26-OCT-23,Sep 2023,0.93,0.92,-0.01,-1.08
TBI,23-OCT-23,Sep 2023,0.15,0.16,0.01,6.67
TBPH,07-NOV-23,Sep 2023,-0.1,-0.01,0.09,90.0
TCBI,19-OCT-23,Sep 2023,1.03,1.18,0.15,14.56
TCBK,25-OCT-23,Sep 2023,0.89,0.92,0.03,3.37
TCBX,25-OCT-23,Sep 2023,0.49,0.32,-0.17,-34.69
TCMD,06-NOV-23,Sep 2023,0.03,0.85,0.82,2733.33
TDC,06-NOV-23,Sep 2023,0.41,0.42,0.01,2.44
TDG,09-NOV-23,Sep 2023,7.54,8.03,0.49,6.5
TDOC,24-OCT-23,Sep 2023,-0.37,-0.35,0.02,5.41
TDS,03-NOV-23,Sep 2023,-0.11,-0.16,-0.05,-45.45
TDUP,06-NOV-23,Sep 2023,-0.17,-0.17,0.0,0.0
TDW,06-NOV-23,Sep 2023,1.45,0.77,-0.68,-46.9
TDY,25-OCT-23,Sep 2023,4.75,5.05,0.3,6.32
TEAM,02-NOV-23,Sep 2023,0.53,0.65,0.12,22.64
TECH,31-OCT-23,Sep 2023,0.44,0.41,-0.03,-6.82
TELL,02-NOV-23,Sep 2023,-0.06,-0.07,-0.01,-16.67
TENB,01-NOV-23,Sep 2023,0.19,0.23,0.04,21.05
TER,25-OCT-23,Sep 2023,0.72,0.8,0.08,11.11
TERN,14-NOV-23,Sep 2023,-0.31,-0.42,-0.11,-35.48
TEX,26-OCT-23,Sep 2023,1.67,1.75,0.08,4.79
TFC,19-OCT-23,Sep 2023,0.82,0.84,0.02,2.44
TFIN,19-OCT-23,Sep 2023,0.37,0.51,0.14,37.84
TFX,02-NOV-23,Sep 2023,3.27,3.64,0.37,11.31
TGI,07-NOV-23,Sep 2023,0.01,0.01,0.0,0.0
TGNA,07-NOV-23,Sep 2023,0.34,0.39,0.05,14.71
TGT,15-NOV-23,Oct 2023,1.48,2.1,0.62,41.89
TGTX,01-NOV-23,Sep 2023,0.29,0.73,0.44,151.72
TH,08-NOV-23,Sep 2023,0.43,0.43,0.0,0.0
THC,30-OCT-23,Sep 2023,1.2,1.44,0.24,20.0
THFF,24-OCT-23,Sep 2023,1.18,1.37,0.19,16.1
THG,01-NOV-23,Sep 2023,0.19,0.19,0.0,0.0
THO,06-DEC-23,Oct 2023,0.87,0.99,0.12,13.79
THR,02-NOV-23,Sep 2023,0.33,0.49,0.16,48.48
THRM,26-OCT-23,Sep 2023,0.68,0.64,-0.04,-5.88
THRY,02-NOV-23,Sep 2023,-0.65,-0.78,-0.13,-20.0
THS,06-NOV-23,Sep 2023,0.48,0.57,0.09,18.75
TILE,03-NOV-23,Sep 2023,0.25,0.28,0.03,12.0
TITN,30-NOV-23,Oct 2023,1.51,1.32,-0.19,-12.58
TJX,15-NOV-23,Oct 2023,0.97,1.03,0.06,6.19
TKR,01-NOV-23,Sep 2023,1.6,1.55,-0.05,-3.13
TMCI,09-NOV-23,Sep 2023,-0.26,-0.28,-0.02,-7.69
TMDX,06-NOV-23,Sep 2023,-0.18,-0.12,0.06,33.33
TMHC,25-OCT-23,Sep 2023,1.52,1.62,0.1,6.58
TMO,25-OCT-23,Sep 2023,5.58,5.69,0.11,1.97
TMP,27-OCT-23,Sep 2023,-2.21,-2.35,-0.14,-6.33
TMUS,25-OCT-23,Sep 2023,1.75,1.82,0.07,4.0
TNDM,01-NOV-23,Sep 2023,-0.35,-0.38,-0.03,-8.57
TNET,25-OCT-23,Sep 2023,1.42,1.91,0.49,34.51
TNGX,08-NOV-23,Sep 2023,-0.34,-0.23,0.11,32.35
TNK,02-NOV-23,Sep 2023,2.43,2.21,-0.22,-9.05
TNL,25-OCT-23,Sep 2023,1.46,1.54,0.08,5.48
TNYA,08-NOV-23,Sep 2023,-0.47,-0.39,0.08,17.02
TOL,05-DEC-23,Oct 2023,3.66,4.11,0.45,12.3
TOST,07-NOV-23,Sep 2023,-0.11,-0.09,0.02,18.18
TOWN,26-OCT-23,Sep 2023,0.51,0.6,0.09,17.65
TPB,08-NOV-23,Sep 2023,0.56,0.69,0.13,23.21
TPC,09-NOV-23,Sep 2023,0.06,-0.71,-0.77,-1283.33
TPG,07-NOV-23,Sep 2023,0.35,0.56,0.21,60.0
TPH,26-OCT-23,Sep 2023,0.54,0.76,0.22,40.74
TPIC,02-NOV-23,Sep 2023,-0.62,-1.71,-1.09,-175.81
TPL,01-NOV-23,Sep 2023,4.84,4.58,-0.26,-5.37
TPR,09-NOV-23,Sep 2023,0.9,0.93,0.03,3.33
TPX,02-NOV-23,Sep 2023,0.8,0.77,-0.03,-3.75
TRC,07-NOV-23,Sep 2023,-0.03,-0.01,0.02,66.67
TRDA,07-NOV-23,Sep 2023,-0.55,1.02,1.57,285.45
TREE,31-OCT-23,Sep 2023,0.39,0.61,0.22,56.41
TREX,30-OCT-23,Sep 2023,0.49,0.57,0.08,16.33
TRGP,02-NOV-23,Sep 2023,1.17,0.97,-0.2,-17.09
TRIP,06-NOV-23,Sep 2023,0.48,0.52,0.04,8.33
TRMB,01-NOV-23,Sep 2023,0.59,0.68,0.09,15.25
TRMK,24-OCT-23,Sep 2023,0.69,0.64,-0.05,-7.25
TRN,02-NOV-23,Sep 2023,0.35,0.26,-0.09,-25.71
TRNO,01-NOV-23,Sep 2023,0.56,0.57,0.01,1.79
TRNS,30-OCT-23,Sep 2023,0.37,0.41,0.04,10.81
TROW,27-OCT-23,Sep 2023,1.76,2.17,0.41,23.3
TROX,25-OCT-23,Sep 2023,0.05,-0.08,-0.13,-260.0
